[ 2026-07-26 09:22:09,643 ] 161 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2026-07-26 09:22:10,761 ] 30 root - INFO - Starting Data Ingestion
[ 2026-07-26 09:22:14,239 ] 81 root - INFO - Performed train test split on the dataframe
[ 2026-07-26 09:22:14,239 ] 83 root - INFO - Exited split_data_as_train_test method of DataIngestion class
[ 2026-07-26 09:22:14,239 ] 93 root - INFO - Exporting train and test file path.
[ 2026-07-26 09:22:14,272 ] 107 root - INFO - Exported train and test files.
[ 2026-07-26 09:22:14,272 ] 46 root - INFO - Data Ingestion Completed Successfully
[ 2026-07-26 09:22:14,272 ] 51 root - INFO - Starting Data Validation
[ 2026-07-26 09:22:14,274 ] 204 root - INFO - Starting data validation
[ 2026-07-26 09:22:14,284 ] 52 root - INFO - Required number of columns: 31
[ 2026-07-26 09:22:14,284 ] 56 root - INFO - Dataframe columns: 31
[ 2026-07-26 09:22:14,284 ] 52 root - INFO - Required number of columns: 31
[ 2026-07-26 09:22:14,284 ] 56 root - INFO - Dataframe columns: 31
[ 2026-07-26 09:22:14,284 ] 96 root - INFO - All numerical columns are present in the dataframe.
[ 2026-07-26 09:22:14,284 ] 96 root - INFO - All numerical columns are present in the dataframe.
[ 2026-07-26 09:22:14,333 ] 185 root - INFO - Data drift report saved at: Artifacts/07_26_2026_09_22_09/data_validation/drift_report/report.yaml
[ 2026-07-26 09:22:14,366 ] 371 root - INFO - Data Validation Artifact: DataValidationArtifact(validation_status=True, valid_train_file_path='Artifacts/07_26_2026_09_22_09/data_validation/validated/train.csv', valid_test_file_path='Artifacts/07_26_2026_09_22_09/data_validation/validated/test.csv', invalid_train_file_path='Artifacts/07_26_2026_09_22_09/data_validation/invalid/train.csv', invalid_test_file_path='Artifacts/07_26_2026_09_22_09/data_validation/invalid/test.csv', drift_report_file_path='Artifacts/07_26_2026_09_22_09/data_validation/drift_report/report.yaml')
[ 2026-07-26 09:22:14,367 ] 68 root - INFO - Data Validation Completed Successfully
[ 2026-07-26 09:22:14,367 ] 73 root - INFO - Starting Data Transformation
[ 2026-07-26 09:22:14,367 ] 86 root - INFO - Entered Data Transformation
[ 2026-07-26 09:22:14,376 ] 64 root - INFO - Creating KNN Imputer
[ 2026-07-26 09:22:14,376 ] 74 root - INFO - Pipeline created successfully
[ 2026-07-26 09:22:14,381 ] 52 root - INFO - Saving object to Artifacts/07_26_2026_09_22_09/data_transformation/transformed_object/preprocessor.pkl
[ 2026-07-26 09:22:14,382 ] 57 root - INFO - Object saved to Artifacts/07_26_2026_09_22_09/data_transformation/transformed_object/preprocessor.pkl
[ 2026-07-26 09:22:14,382 ] 171 root - INFO - Data Transformation completed successfully
[ 2026-07-26 09:22:14,383 ] 90 root - INFO - Data Transformation Completed Successfully
[ 2026-07-26 09:22:14,383 ] 92 root - INFO - Model Training Started
[ 2026-07-26 09:24:36,153 ] 52 root - INFO - Saving object to Artifacts/07_26_2026_09_22_09/model_trainer/trained_model/model.pkl
[ 2026-07-26 09:24:36,257 ] 57 root - INFO - Object saved to Artifacts/07_26_2026_09_22_09/model_trainer/trained_model/model.pkl
[ 2026-07-26 09:24:36,257 ] 120 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/07_26_2026_09_22_09/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=np.float64(0.9912041249620868), precision_score=np.float64(0.9893037336024217), recall_score=np.float64(0.9931118314424635)), test_metric_artifact=ClassificationMetricArtifact(f1_score=np.float64(0.9800081599347206), precision_score=np.float64(0.9764227642276423), recall_score=np.float64(0.9836199836199836)))
[ 2026-07-26 09:24:36,258 ] 99 root - INFO - Model Training Artifact created.
