[ 2026-07-26 21:45:36,256 ] 161 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2026-07-26 21:45:37,843 ] 30 root - INFO - Starting Data Ingestion
[ 2026-07-26 21:45:40,298 ] 81 root - INFO - Performed train test split on the dataframe
[ 2026-07-26 21:45:40,298 ] 83 root - INFO - Exited split_data_as_train_test method of DataIngestion class
[ 2026-07-26 21:45:40,298 ] 93 root - INFO - Exporting train and test file path.
[ 2026-07-26 21:45:40,331 ] 107 root - INFO - Exported train and test files.
[ 2026-07-26 21:45:40,331 ] 46 root - INFO - Data Ingestion Completed Successfully
[ 2026-07-26 21:45:40,331 ] 51 root - INFO - Starting Data Validation
[ 2026-07-26 21:45:40,333 ] 204 root - INFO - Starting data validation
[ 2026-07-26 21:45:40,344 ] 52 root - INFO - Required number of columns: 31
[ 2026-07-26 21:45:40,344 ] 56 root - INFO - Dataframe columns: 31
[ 2026-07-26 21:45:40,344 ] 52 root - INFO - Required number of columns: 31
[ 2026-07-26 21:45:40,344 ] 56 root - INFO - Dataframe columns: 31
[ 2026-07-26 21:45:40,344 ] 96 root - INFO - All numerical columns are present in the dataframe.
[ 2026-07-26 21:45:40,344 ] 96 root - INFO - All numerical columns are present in the dataframe.
[ 2026-07-26 21:45:40,399 ] 185 root - INFO - Data drift report saved at: Artifacts/07_26_2026_21_45_35/data_validation/drift_report/report.yaml
[ 2026-07-26 21:45:40,438 ] 371 root - INFO - Data Validation Artifact: DataValidationArtifact(validation_status=True, valid_train_file_path='Artifacts/07_26_2026_21_45_35/data_validation/validated/train.csv', valid_test_file_path='Artifacts/07_26_2026_21_45_35/data_validation/validated/test.csv', invalid_train_file_path='Artifacts/07_26_2026_21_45_35/data_validation/invalid/train.csv', invalid_test_file_path='Artifacts/07_26_2026_21_45_35/data_validation/invalid/test.csv', drift_report_file_path='Artifacts/07_26_2026_21_45_35/data_validation/drift_report/report.yaml')
[ 2026-07-26 21:45:40,438 ] 68 root - INFO - Data Validation Completed Successfully
[ 2026-07-26 21:45:40,439 ] 73 root - INFO - Starting Data Transformation
[ 2026-07-26 21:45:40,439 ] 86 root - INFO - Entered Data Transformation
[ 2026-07-26 21:45:40,448 ] 64 root - INFO - Creating KNN Imputer
[ 2026-07-26 21:45:40,448 ] 74 root - INFO - Pipeline created successfully
[ 2026-07-26 21:45:40,453 ] 52 root - INFO - Saving object to Artifacts/07_26_2026_21_45_35/data_transformation/transformed_object/preprocessor.pkl
[ 2026-07-26 21:45:40,457 ] 57 root - INFO - Object saved to Artifacts/07_26_2026_21_45_35/data_transformation/transformed_object/preprocessor.pkl
[ 2026-07-26 21:45:40,457 ] 171 root - INFO - Data Transformation completed successfully
[ 2026-07-26 21:45:40,457 ] 90 root - INFO - Data Transformation Completed Successfully
[ 2026-07-26 21:45:40,457 ] 92 root - INFO - Model Training Started
[ 2026-07-26 21:48:16,677 ] 52 root - INFO - Saving object to Artifacts/07_26_2026_21_45_35/model_trainer/trained_model/model.pkl
[ 2026-07-26 21:48:16,713 ] 57 root - INFO - Object saved to Artifacts/07_26_2026_21_45_35/model_trainer/trained_model/model.pkl
[ 2026-07-26 21:48:16,713 ] 138 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/07_26_2026_21_45_35/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=np.float64(0.9914738124238733), precision_score=np.float64(0.9896656534954408), recall_score=np.float64(0.9932885906040269)), test_metric_artifact=ClassificationMetricArtifact(f1_score=np.float64(0.9784688995215312), precision_score=np.float64(0.9676656151419558), recall_score=np.float64(0.989516129032258)))
[ 2026-07-26 21:48:16,716 ] 99 root - INFO - Model Training Artifact created.
